Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
2010,The Coimbatore Bio Medical Services Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"No.190A, Bashyakarlu Road East, R.S. Puram",641002,0422 2552297,097913 60516,N/A,N/A,poornashloka@yahoo.com,,Dr. Prema Nalini ,N/A,7708670889,poornashloka@yahoo.com,MBBS,Charity,NO,NO,24x7,135/28c,1980,2016,11.014581,76.953349
2011,Karpagam Hospital Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"Pollachi Main Road, Othakkalmandapam, Coimbatore",641032,0422 6554443,N/A,N/A,N/A,karpagamhospital@gmail.com,http://www.karpagam.ac.in,Dr. Karthikeyan,N/A,9994743277,karpagamhospital@gmail.com,"MBBS, MD (Pathology)",Charity,YES,NO,24x7,320,N/A,22-02-2016,10.885007,77.008223
2012,Swaasam Blood Bank (Run by Any time Blood Voluntary Association),Tamil Nadu,COIMBATORE,Coimbatore,"Shop No. 9/3, Sakthi estate, M. G Road, Avarampalayam, 
Coimbatore",641006,N/A,"099425 44454, 09942344454",N/A,N/A,swasmbloodbank@gmail.com,http://www.anytimebloodvoluntaryorganization.org,Dr. Karthik Kumar,N/A,9894265505,karthic_rulz@yahoo.co.in,MBBS,Charity,NO,NO,24x7,325,04-05-2011,03-05-2016,11.024262,76.984656
2013,RVS Hospital Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"242-B, Trichy Rd,Mathiyalagan Nagar,Sulur,  ",641402,"0422 2682942, 0422 2682943",,,,,,,,,,,Private,NO,NO,,,,,11.028425,77.134135
2014,Government Hospital Blood Bank,Tamil Nadu,COIMBATORE,Pollachi,"Government Hospital, NH209,Mahalingapuram,Udumalpet Road,Pollachi",642001,04259 229322,9865305136,N/A,N/A,cmopollachi@gmail.com,,Dr. E. Raja,N/A,9443748025,CMOPOLLACHI@GMAIL.COM ,"MBBS, DCH",Government,NO,NO,24x7,155/28C,22-10-1998,31-12-2011,10.658046,77.009584
2015,Pollachi Blood Bank Services,Tamil Nadu,COIMBATORE,Pollachi,"No : 6, Kanitha methai Ramaujam Street, Venkatesa Colony, Pollachi",642001,04259 223414,98430181803,N/A,N/A,willpharma_india@yahoo.com,,Dr. Symalaya Devi,N/A,98430181803,willpharma_india@yahoo.com,MBBS,Private,NO,NO,24x7,23/28C,20-07-1999,01-01-2013,10.665479,77.007079
2016,Rajah Muthiah Medical College and Hospital Blood Bank,Tamil Nadu,CUDDALORE,Chidambaram,"Annamalai Nagar, Chidambaram",608202,"04144 238147, Extn 28",9944669799,N/A,N/A,pathormmcau2014@gmail.com,,Dr. P. Vishwanadhan,N/A,9865038041,pathormmcau2014@gmail.com,"MBBS, MD (Pathology)",Private,YES,YES,24x7,41/28c,08-12-1995,31-12-2017,11.398477,79.718821
2017,Kamaraj Government Hospital Blood Bank,Tamil Nadu,CUDDALORE,Chidambaram,"S.P.Kovil Street, Chidamabaram bus stand, Chidambaram",638001,04144 223099,0 9842381535,N/A,N/A,bloodbankcdm@gmail.com,,Dr.Pandian,N/A,0 9842381535,bloodbankcdm@gmail.com,"MBBS,MD(medicine)",Government,NO,NO,24X7,101/28c,31.3.1997,31.12.2017,11.394771,79.699614
2018,Hi Tech Blood Bank and Research Foundation,Tamil Nadu,CUDDALORE,Cuddalore,"No. 2, Chinnappa Mudali Street Manja Kuppam",1,04142 230977,N/A,N/A,N/A,hitechbloodbank2003@gmail.com,,Dr. Arunachalam,N/A,9445550993,hitechbloodbank2003@gmail.com,MBBS,Private,NO,NO,8am to 5pm,213/28c,16-05-2003,15-05-2017,#N/A,#N/A
2019,Government Hospital Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"Government  Hospital, Viruduchalam (T.K)",606001,04143 231766,9688034114,N/A,N/A,vdmbloodbank@gmail.com,,Dr. Thirunavukkarasu,N/A,9688052027,vdmbloodbank@gmail.com,MBBS,Government,NO,NO,24x7,432/28c,31-03-1997,2012,11.515577,79.316767
2020,Government Head Quarters Hospital Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"Nellikuppam road, Cuddalore",607001,04142 292052,9443253439,N/A,N/A,cuddalorebloodbank@gmail.com ,,Dr. Sai Leela,N/A,9443253439,cuddalorebloodbank@gmail.com ,"MBBS, DGO",Government,NO,NO,24x7,102/28c,N/A,31-12-2017,11.756684,79.759266
2021,Blood Donor Association Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"No. 17A, Hospital Road , Cuddalore",607001,"04142 231711,  04142 231715","09367612970, 09360633822",,,,,,,,,,Private,NO,NO,24x7,,,,11.7571043,79.7615848
2022,Neyveli Lignite Corporation,Tamil Nadu,CUDDALORE,Neyveli,"NH532, M.K Colony, Neyveli, Tamil Nadu",607802,"04142 2522784, 04142 28364613",9791557028,N/A,04142 252784,nlcghbloodbank@gmail.com,http://www.nlcindia.com,Dr. Srinivas Suyamprakash,N/A,9443051569,path24ssp@yahoo.co.in,"MBBS, MD ( Pathology)",Government,NO,NO,24x7,129,20-05-1997,31-12-2017,11.537043,79.467181
2023,Dharmapuri Medical College Hospital Blood Bank,Tamil Nadu,DHARMAPURI,Dharmapuri,"3/29A, Nethaji Bye Pass Road, Kamalakhsmi Colony,
Dharmapuri",636701,04342 231748,9443166388,N/A,N/A,bloodbankdpi@gmail.com,,Dr. Chandra Sekar,N/A,9443166388,bloodbankdpi@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,255/28c & present 342/28c,31-03-1997,09-01-2018,12.122192,78.156738
2024,Ashok Blood Bank and Clinical Laboratory,Tamil Nadu,DHARMAPURI,Dharmapuri,"No. 63A, Sengodipuram Road IInd Floor, Dharmapuri",636702,0434 2260627,9843260627,N/A,N/A,ashok123.ak@gmail.com,,Dr. R.N. Ramamoorthy,N/A,8148458172,ashok123.ak@gmail.com,MBBS,Private,NO,NO,24x7,186/28c,01-01-2001,31-12-2016,12.132581,78.161182
2025,Om Sakthi Blood Bank,Tamil Nadu,DHARMAPURI,Dharmapuri,"No 4 Sengodipuram, Dharmapuri",636701,"04342 260388, 04342 261388",93456102799,N/A,N/A,omsakthihospital@gmail.com,,Dr. Ranganathan,N/A,93456102799,omsakthihospital@gmail.com,"MBBS, MD, DGO",Private,NO,NO,24x7,207/28c,28-08-2007,22-07-2012,12.132676,78.161652
2026,Christian Community Health Center and Hospital Blood Bank,Tamil Nadu,DINDIGUL,Ambilikai,"Shanthipuram, Ambilikkai, Tamil Nadu ",624612,04553 249050,8940487508,N/A,N/A,pbjacobcherian@gmail.com,,Dr. Sam Abraham,N/A,9843216881,pbjacobcherian@gmail.com,"MBBS, DNB",Charity,NO,NO,24x7 ,148,17-04-1998,2016,10.545977,77.725236
2027,St.Joseph Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"Chennai Theni Highway, Nehruji Nagar",624001,"04512 421130, 04512 426091, 04512 430399",9942018383,N/A,N/A,N/A,,Dr. Sudha Anand,N/A,9710411396,N/A,"MBBS, DNB",Private,NO,NO,24x7,83/28c,N/A,31-12-2015,10.370257,77.980644
2028,Indian Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"2/2 Spencor&#39;s Compound
",20,0451 2429393,N/A,N/A,N/A,djegadesh78@gmail.com,,Dr. Arumugam,N/A,9566700474,djegadesh78@gmail.com,MBBS,Private,NO,NO,N/A,266/28c,N/A,2011,10.3605756,77.978264
2029,Dindigul Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"No. 28/2, Veppan thoppu street, Palani Road, Dindigul",624001,0451 2427143   ext. 2429812,9443177063,N/A,N/A,dglbloodbank99@gmail.com,,Dr. S.A Jeyaram,N/A,9150077055,dglbloodbank99@gmail.com,"MBBS, MCh",Private,YES,NO,24x7,298,09-04-1999,04-02-2014,10.366656,77.977708
2030,Government Head quarters Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"Trichy Road,New bus stand, Opp to North police station
",624001,04511 2424600,9443447160,N/A,N/A,bloodbankdindigul@gmail.com,,Dr. Manoharan,N/A,9443447160,bloodbankdindigul@gmail.com,MBBS,Government,NO,NO,24x7,N/A,N/A,N/A,10.363893,77.976364
2031,Leonard Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"SH 155, Arunachalapuram, Batlagundu",624202,04543 262670,099442 60622,N/A,N/A,holyleonard@gmail.com,,Dr. S.R. Jacquline,N/A,9894743845,holyleonard@gmail.com,"MBBS, MS",Charity,NO,NO,24x7,179/28c,31-10-2000,31-12-2016,10.165505,77.760672
2032,Palani Blood Bank (Run by Annai Educational Trust),Tamil Nadu,DINDIGUL,Dindigul,"49, Dindigal Road, 1st Floor, Opposite to Government  Hospital, Dindigul",624601,04545 245501,"09150181501, 09842925501",N/A,N/A,palanibloodbank@gmail.com,,Dr. M. Karuppusamy,N/A,9842142132,palanibloodbank@gmail.com,MBBS,Charity,NO,NO,24x7,341/28c,2012,31-12-2016,10.3638935,77.9763633
2033,Kasturba Hospital Blood Bank,Tamil Nadu,DINDIGUL,Gandhigram,Gandhigram,624302,04510 2452328,N/A,N/A,N/A,,,,,,,,Charity,NO,NO,N/A,,,,10.2866333,77.9318668
2034,Christian Fellowship Hospital Blood Bank,Tamil Nadu,DINDIGUL,Oddanchataram,"Dindigul Main Road, Oddanchathram",624619,"04553 241226,04553 241379",9994892496,N/A,N/A,cfh@sancharnet.in,http://www.cfhospital.com,Dr. Valsa Theriyan,N/A,9994892496,cfh@sancharnet.in,"MBBS, DLO",Charity,NO,NO,24x7,230/28c,,13-01-2014,10.48803,77.751707
2035,Government Hospital Blood Bank,Tamil Nadu,DINDIGUL,Palani,"Dindigul Road, South Anna Nagar, Palani",624601,04542 248553,093446 60502,N/A,N/A,bloodbankghpalani@gmail.com,,Dr. T.P Murugeshkumar,N/A,7708787590,bloodbankghpalani@gmail.com,"MBBS, MS",Government,NO,NO,24x7,96/28C,01-01-2007,31-12-2012,10.448498,77.516908
2036,Erode Blood Bank and Clinical Laboratory,Tamil Nadu,ERODE,Erode,"No. 43, Patel Road, 1st Floor,Erode",638001,04242 253163,9841011418,N/A,N/A,N/A,,Dr. N. Loganthan,N/A,9443498774,leelango@yahoo.com,MBBS,Private,YES,NO,24x7,3/28C,19-08-1994,15-08-2012,11.336191,77.718506
2037,Kongu Blood Bank,Tamil Nadu,ERODE,Erode,"TS No. 51/1E Ist floor, Perundurai Road",638011,"0424 2263537, 0424 2263536",N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Private,,,N/A,N/A,N/A,N/A,11.340634,77.715943
2038,Lotus Blood Bank,Tamil Nadu,ERODE,Erode,(Lotus Apollo Hospital) Poonthurai Main Road,638002,04242 282828,N/A,9842766666,4242282849,drusha@gmail.com,,Dr. S. Usha,N/A,9952362196,drusha@gmail.com,"MBBS, DGO",Private,NO,NO,24x7,200,27-05-2012,26-05-2017,11.326009,77.730096
2039,Lions Club of Erode Supreme Charitable Trust Blood Bank,Tamil Nadu,ERODE,Erode,"No. 27 S.K.C Road, Erode ",638001,"0424 2257744, 0424 2277733, 0424 2277732",9443931711,N/A,N/A,lionsbberd@gmail.com,,Dr. Chitra,N/A,9842785555,N/A,"MBBS, DA",Charity,YES,NO,24x7,353,26-12-2006,07-05-2014,11.3351974,77.721947
2040,Dhanvantri Charitable Trust Blood Bank,Tamil Nadu,ERODE,Erode,"No.1. Old Post office Road, Sathyamangalam",638001,04295 2233322,N/A,N/A,N/A,,,,,,,,Charity,,,N/A,,,,11.3351529,77.7271298
2041,IRT Perunthurai Medical College Hospital Blood Bank,Tamil Nadu,ERODE,Erode,"Perundurai, Erode ",638053,04294 220910  ,N/A,N/A,N/A,N/A,http://www.irtpmc.ac.in,Dr. G. Vijaya Lakshmi ,N/A,9489644074,N/A,"MBBS, MD",Government,NO,NO,24x7,75,17-01-1997,31-12-2012,11.280826,77.567496
2042,Idayam Hospitals Erode Limited Blood Bank,Tamil Nadu,ERODE,Erode,"No.15, Palaniappa Street",638009,04242 256456,9842849575,,,,,,,,,,Private,NO,NO,24X7,,,,11.3389253,77.7163512
2043,Sri Saanthi Blood Bank (Run by Kaveri trust),Tamil Nadu,ERODE,Erode ,"6-9, kandappa Lane, Brough Road, Erode",638001,,,,,,,,,,,,Charity,,,,,,,11.3393439,77.7217171
2044,Government Head quarters Hospital Blood Bank Erode,Tamil Nadu,ERODE,Erode,Erode,,,,,,,,,,,,,Government,,,,,,,11.3410364,77.7171642
2045,Government Hospital Blood Bank,Tamil Nadu,ERODE,Gobichettipalayam,"Government Hospital, Gobichettipalayam",638452,04285 227153,"09842367605, 09442120800",N/A,N/A,bbghgobi@gmail.com,,Dr. S. Manimozhi,N/A,9442120800,mozhi@gmail.com,MBBS,Government,NO,NO,24x7,180,13-01-2000,31-12-2011,11.456457,77.428786
2046,Sri Ram Blood Bank,Tamil Nadu,ERODE,Gobichettipalayam,"4/28, Govt Hospital Road, Gobichettipalayam, ",638452,"04285 222596, 04285 222 224",9443014094,N/A,N/A,sreramdc@gmail.com,,Dr. S. Kothanda Raman,N/A,9443014094,sreramdc@gmail.com,"MSC, Medical Biochemistry",Private,NO,NO,24x7,190,01-01-2003,31-12-2007,11.455893,77.42957
2047,Chengalpattu Medical College Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpattu,"Anna Nagar, Chengalpattu",603001,"044 27431909, 044 2743 1221",9445142097,N/A,N/A,bbcmchcpt@gmail.com,,Dr. Susan Wilson,N/A,9445142097,bbcmchcpt@gmail.com,"MBBS, DCP",Government,YES,NO,24x7,110/28c,N/A,31-12-2017,12.677617,79.98029
2048,Shri Sathya Sai Medical College and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpattu,"Tiruporur - Guduvancherry Main Road, Ammapettai, Chengalpat",603108,044 27440700044 27440346   044 2744 0347,9842139353,N/A,N/A,sathyasais@yahoo.in,,Dr. Revathi sri,,9994164995,sathyasais@yahoo.in,MD (Pathology),Private,YES,NO,24x7,301,29-05-2009,28-05-2019,12.746312,80.132393
2049,Essar Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpet,"Arumbakkam Sri AS rajagopalan trust,  No 16. alagesan Road, Vedachalam Nagar",,,,,,,,,,,,,Private,,,,,,,#N/A,#N/A
2050,"Military Hospital Blood Bank, St. Thomas Mount",Tamil Nadu,KANCHIPURAM,Chennai,"Defence Colony 1st Ave,Ekkatuthangal, Chennai",600016,044 25316500,9840362852,,,,,,,,,,Government,YES,NO,24X7,,,,13.024872,80.199193
2051,Meenakshi Medical College Hospital and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram,"Enathur, Karrapettai Post, Kanchipuram",631552,"044 27264096, 044 27261339",N/A,N/A,044 27261098,"mmchri@gmail.com, bbmmchri@gmail.com",http://www.mmchri.res.in,Dr. Thamilselvi,N/A,9444685232,"mmchri@gmail.com, bbmmch@gmail.com","MBBS, DCP",Private,YES,NO,24x7,204/28c,01-11-2002,01-11-2017,12.872611,79.723864
2052,Government Aringnar Anna Memorial Cancer Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram," Bangalore High Road, Karaipettai",631552,"044 27264244, 044 27264246",8220328529,N/A,N/A,bloodbankkanchipuram@gmail.com,,Dr. Karnan Srinivasan,N/A,9842270235,karnan.srinivas@gmail.com,"MBBS, MS",Government,NO,NO,24x7,111/28-c,01-01-2008,31-01-2012,12.86981,79.715799
2053,Government Head Quarters Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram,"Hospital Road, Kanchipuram",631501,"044 27222307, 044 272223308",8220328529,N/A,N/A,bloodbankkanchipuram@gmail.com,,Dr. Kalpana,N/A,9865233932,N/A,"MBBS, DO",Government,NO,NO,24x7,361,N/A,31-12-2017,12.832978,79.710277
2054,Annai Medical College and Hospital Blood Bank (Run by Sri Devi Karumari Amman Educational Trust),Tamil Nadu,KANCHIPURAM,Kanchipuram,"1st Floor Casuality Block, Dr. G. Jayarama Nagar, Pennatur, Sri Perumbudur Taluk",602117,044 27162100,1800 121 3010,N/A,N/A,,http://www.annaiimedicalcollege.com,N/A,N/A,1800 121 3010,N/A,N/A,Charity,NO,NO,24x7,N/A,N/A,N/A,12.97068,79.976376
2055,SRM Medical College Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kattangulathur,"SRM Nagar, Potheri, Kattankulathur, Kancheepuram",603203,"044 27455707, 044 2745 5510",N/A,N/A,N/A,N/A,http://www.srmuniv.ac.in,Dr. Lalitha C Pilli,N/A,9840233377,lalithacpilli@yahoo.com,"MD, DCP, DO",Private,YES,NO,24x7,244,13-08-2004,13-08-2009,12.822849,80.048734
2056,Chettinad Hospital and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Kelambakkam,"SH 121, Rajiv Gandhi Salai, Kelambakkam ",603103,044 4741000,9443025241,N/A,N/A,,http://www.chettinadhospitals.com,N/A,N/A,9443025241,N/A,N/A,Private,YES,,24x7,N/A,N/A,N/A,12.794973,80.216129
2057,Madurantakam Government Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Madurantakam,"Hospital Road, Madurantakam",603306,044 27555216,"09841419802, 09952523743",N/A,N/A,ghmadhurantagam@gmail.com,,Dr. P. Parthiban,N/A,9841419802,N/A,"MBBS, DLO",Government,NO,NO,24x7,227,30-09-2003,29-09-2013,12.50908,79.890064
2058,Karpaga Vinayaga Institute of Medical Sciences Blood Bank,Tamil Nadu,KANCHIPURAM,Maduranthagam,"GST Road, Chinna Kolambakkam, Palayanoor P.O.
Madurantagam Taluk.
",603308,044 27566050  044 2759 8484,N/A,N/A,N/A,,http://www.kids.edu.in/,,,,,,Private,,,24x7,,,,12.592392,79.911956
2059,Government Hospital Tambaram Blood Bank,Tamil Nadu,KANCHIPURAM,Tambaram,"Government Hospital Tambaram, GST Road, Chrompet",600044,044  22382400,9444084885,N/A,N/A,bloodbanktambram@gmail.com,,Dr. Premila,044  22382400,9444084885,bloodbanktambram@gmail.com,"MBBS, DGO",Government,NO,NO,24x7,73,04-12-1996,31-12-2016,12.9456,80.134345
2060,Saveetha Medical College and Hospital Blood Bank (A unit of Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,KANCHIPURAM,Thandalam,"S.No. 302/1, Mavalur kuppam Village, Saveetha Nagar, Thandalam",602105,044 26810299,9842247997,N/A,N/A,,http://www.saveetha.com,,,,,,Private,,,24x7,,,,13.0282708,80.0157633
2061,Deen Dayal Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Thiruvallur,"No. 61, Deen Dayal Nagar, Kunnavalam Post, Tirupati Road,Thiruvallur Taluk,Tamil Nadu ",631210,044 27677700,,,,,,,,,,,Private,NO,NO,24x7,,,,13.177496,79.810762
2062,M/s Marthandam Blood Bank,Tamil Nadu,Kanyakumari,Kanya Kumari,"2/64, AIFB Hospital Building, Junction Main Road, Marthandam",,,,,,,,,,,,,Private,,,,,,,8.187809,77.40997
2063,Sree Mookambika Institute Medical Science Blood Bank,Tamil Nadu,Kanyakumari,Kanyakumari,"14-9C 15, Ist Floor, Medical College Hospital Building, Padanilam, Kulasekaram",629161,04651 2788250,094433 77601,N/A,N/A,,http://www.sreemookambikainstitute.com,N/A,N/A,N/A,N/A,N/A,Private,YES,,24x7,N/A,N/A,N/A,8.361102,77.292365
2064,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Kanyakumari,Kanyakumari,"Padmanabhapuram, Thuckalay, Kanyakumari",629175,04651 256023,8012503145,N/A,N/A,N/A,,Dr. L.P Sastha,N/A,9446414747,N/A,MBBS,Government,NO,NO,24x7,323/28-c,30-03-2011,29-03-2016,8.247696,77.313237
2065,"M/S Indian Medical Centre, Dr Kumarsawamy Health Center",Tamil Nadu,Kanyakumari,Kanyakumari,"Perumal Puram, Kottaram Post",629703,,,,,,,,,,,,Private,,,,,,,8.1126807,77.5333326
2066,Catherine Booth Hospital Blood Bank (Run By The Salvation Army),Tamil Nadu,Kanyakumari,Nagarcoil,"M/s.  The Salvation Army Catherine Booth Hospital,
Arunachalam Colony, Nagercoil",629001,"04652 275516, 04652 275517",9443374501,N/A,04652 275489,oesolomon@gmail.com,,Dr. Ebenezer Solomon,N/A,9443374501,oesolomon@gmail.com,"MBBS, MD",Private,NO,NO,24x7,16,29-11-1994,31-12-2011,8.200027,77.43068
2067,Kanyakumari Medical College Hospital Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"KGMCH,  Asaripallam",629003,04652 236949,"07598853127, 08012722728",N/A,4652238176,bbkgmch@gmail.com,http://www.kkmc.ac.in,Dr. S. Caroline Geetha,N/A,9486344442,N/A,"MBBS, DCP",Government,YES,NO,24x7,85,01-12-2004,30-11-2014,8.172512,77.392704
2068,AV Rajan Blood Transfusion Services Clinical and Research Laboratories,Tamil Nadu,Kanyakumari,Nagercoil,"No. 20/6-75 PWD Road, Rajappa Campus, Chettikulam, Nagercoil",629012,04652 225427,9944669799,,,,,,,,,,Private,NO,,,,,,#N/A,#N/A
2069,Royal Blood Bank  (Run by Royal Medical Trust),Tamil Nadu,Kanyakumari,Nagercoil,"No. 40/2 197 PWD Office Road, Peria Nadar Street, Nagerkoil",629001,04652 229903,,,,,,,,,,,Charity,NO,,,,,,#N/A,#N/A
2070,Kanya Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"No.173 A/1, K.P. Road, Ramavarmapuram, Nagercoil",629 001,"04652 279850, 04652 273951",9443360716,N/A,N/A,kanyablood@rediffmail.com,,Dr. Moses Sundar Singh,N/A,094433 60716,kanyablood@rediffmail.com,"BSc, MBBS",Private,NO,NO,24x7,65,20-05-1996,31-12-2006,8.17554,77.429731
2071,Vivek Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil," 253, K-11,  K.P. Road, Nagercoil",629003,"04652 230108, 04652 234408",N/A,N/A,4652221108,viveklaboratories@gmail.com,,Dr. Srinivasakannan,N/A,9843133308,viveklaboratories@gmail.com,"MBBS, MD",Private,YES,NO,24x7,131,02-06-1997,01-01-2003,8.184559,77.410413
2072,Dr. Jeyasekharan Medical Trust and Nursing Home Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"No. 253, KP Road, Nagercoil, Kanyakumari, ",629003,"04652 230019,0465 230020,04652 230021  ",N/A,N/A,04652 230405,jeyasekhranmedicaltrust@gmail.com,http://www.jeyasekharanhospital.com,Dr. Ranjith Jeyasekharan,N/A,9443146355,jeyasekhranmedicaltrust@gmail.com,"MBBS, DMRD, MD",Charity,YES,NO,24x7,152,20-07-1998,17-01-2011,8.184416,77.409869
2073,Thangam Blood Bank (Run by Thangam Chartiable Community Health Trust) William Hospital,Tamil Nadu,Kanyakumari,Nagercoil,"No 252, II floor, william hospital complex, Krishnan Koil, Nagerkoil",629003,04652 277955,9442711334,N/A,N/A,N/A,,Dr. Burlington Alphonso,N/A,9443204537,N/A,MBBS,Charity,NO,NO,9 Am to 7 PM,265,26-10-2005,25-10-2010,8.191431,77.423288
2074,Bensam Hospital Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"Kalliancaud, NH 66, Nagercoil",629003,"04652 232532, 04652 232533, 04652 232534, 04652 232535",094431 35977 ,N/A,N/A,bensamhospital2008@gmail.com,http://www.ebeneshbensam.com,Dr. Ebeneshbensam ,N/A,"09443135977, 09443204537",N/A,"MBBS, MS",Private,NO,NO,24x7,,,,8.189676,77.412207
2075,Lords Blood Bank (Run By Rajamony Memorial Educational Charitable Trust),Tamil Nadu,Kanyakumari,Nagercoil,"129, Main Road, Opposite to R.C. Church",629003,04651 231112,9894476132,N/A,N/A,lordsonkannan@gmail.com,,Dr. Michel Fangalen,N/A,9566915153,N/A,MBBS,Charity,NO,NO,24x7,310,25-02-2008,28-09-2015,8.1996352,77.3806119
2076,Siventhi Blood Bank (Siventhi Medical Trust),Tamil Nadu,Kanyakumari,Nagerkoil,"1/1 ? 344 -A, M.S. Road,  Nagarkovil",629003,"04652 221221, 04652 221331",9894216218,,,,,,,,,,Charity,NO,,24x7,,,,8.187809,77.40997
2077,Kanyakumari Medical Mission CSI Hospital Blood Bank,Tamil Nadu,Kanyakumari,Neyoor,"CSI Hospital, SH 180,Neyyoor",629802,04651 222222,,,,,,,,,,,Charity,NO,NO,24x7,,,,8.211518,77.302952
2078,Karur Blood Bank,Tamil Nadu,KARUR,Karur,"No. 196/29, Kamarajapuram",639002,"0432 4236177, 0432 4236188",N/A,N/A,N/A,jwilliamskbbjw@yahoo.com,,Dr. Doraisamy,N/A,9443136188,jwilliamskbbjw@yahoo.com,"MBBS, MS",Private,YES,NO,24x7,139,23-01-1998,05-07-2004,10.963696,78.069084
2079,Government Head Quarters Hospital Blood Bank,Tamil Nadu,KARUR,Karur,"Government Headquarters Hospital, Karur",639001,0432 4260197,"09751323125, 09751097848",N/A,N/A,karurgh@gmail.com,,Dr. R. Vasanthi,N/A,9443359523,karurgh@gmail.com,MBBS,Government,NO,NO,24x7,76/C,17-01-1997,31-12-2012,10.962277,78.080228
2080,M/S. Rainbow Blood Bank ( Run by rainbow Health &Educational Trust) ,Tamil Nadu,KARUR,Karur,"40 car street, Karur",639001,,,,,,,,,,,,Charity,,,,,,,#N/A,#N/A
2081,M/s Karur Voluntary Blood Bank and Laboratary,Tamil Nadu,KARUR,Karur,20 Kamachi Amman Koil Street,639001,,,,,,,,,,,,Charity,,,,,,,10.9637017,78.0690783
2082,M/S TCR Blood Bank ( Run by TCR hospital & Charitable Trust),Tamil Nadu,KRISHNAGIRI, Krishnagiri,"TCR Multi Speciality Hospital, No.1/450, Avvai Nagar,Near LIC, Krishnagiri.",635001,04343 239393,9585843555,,,tcrblood@gmail.com,http://www.tcrmultispecialityhospital.com,Dr. C. Soundara Rajan,04343-239393,9442301007,tcrhospital@gmail.com,MD (General Medicine),Charity,NO,NO,24x7,364,26-09-2014,25-09-2019,12.5186,78.2137
2083,Government Hospital Blood Bank,Tamil Nadu,KRISHNAGIRI,Hosur,"SH 17, Denkanikotta Road, Hosur, 
",635109,04344 222635,"099768 58388, 09443244005",N/A,N/A,ictchosur@gmail.com,,Dr. Navaneedhan,N/A,9445994855,susibloodbanksr@gmail.com,"MBBS, DCH",Government,NO,NO,24x7,226,18-11-2013,17-11-2018,12.72911,77.825456
2084,Arogya Blood Bank (A Unit of Arogya Seva Hospitals Private Limited),Tamil Nadu,KRISHNAGIRI,Hosur,"35 Opposite CSI church , Denkanikottai road,
New Temple Land Hudco, Shanthi Nagar East, Hosur",635109,04344 225555 ,N/A,N/A,N/A,bloodbank.hosur@kauveryhospital.com,,Dr. Guru Rao,N/A,8903669613,bloodbank.hosur@kauveryhospital.com,"MBBS, DCP",Private,NO,NO,24x7,359,31-07-2014,30-07-2019,12.728397,77.824389
2085,Life Care Voluntary Blood Bank (Run by Life Care Trust),Tamil Nadu,KRISHNAGIRI,Hosur,"Venus Arcade, No.2, Ground Floor and First Floor, Old Telephone Exchange Road, Near Parimalam School, Hosur",635109,04344 221716,8123533773,N/A,N/A,hosurlifecarebloodbank@gmail.com,,Dr. Anne rose,N/A,9686185152,N/A,"MBBS, MD (Pathology)",Charity,YES,NO,24x7,369,09-01-2015,08-01-2020,12.7278104,77.8268068
